	SRR2921689	SRR2921690	SRR2921691	SRR2921692	SRR2921693	SRR2921694	SRR2921695	SRR2921696	SRR2921697	SRR2921698	SRR2921699	SRR2921700	SRR2921701	SRR2921702	SRR2921703	SRR2921704	SRR2921705	SRR2921706	SRR2921707	SRR2921708	SRR2921709	SRR2921710	SRR2921711	SRR2921712
3M4HDXPAC_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MLDAt_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MLDAt_neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOBt2im_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOPt2im_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_NADP__pos	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOX4HOXPGALDOX_NADP__neg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3MOXTYROX_pos	2.7177350155950113	0.0	1.0266094655665512	6.165667544949186	4.564780430873152	1.2514002344577269	3.1104647625132418	1.3031917185168613	4.8337310768393245	5.179376162588227	5.481310249774867	0.0	2.301696790422694	2.704519999445911	1.9417357085589948	0.0	0.0	1.9815065054062084	0.0	2.3478215403386384	0.0	3.846157769993883	4.2872219069528406	1.1920851119999596
3NTD7l_pos	0.0	0.0	0.0	0.0	3.6095944859365305	4.244265516702741	0.0	3.9047525837153505	0.0	0.17692188125250055	3.893155390864367	0.0	2.149554699440965	1.0624503815283524	1.2115743645938224	0.93028371639845	2.1899189285957177	0.9693597977551502	3.3653024958634283	0.0	0.0	6.563311300418555	0.0	0.7451828280898222
3SALAASPm_pos	4.868766890022965	4.845155762476806	4.594327487383702	6.2801344839601345	6.825192867240532	3.7083685329502947	6.168869073888519	3.6229580816023317	2.3904841878003174	3.463166726077874	7.029640571765419	6.361959034964464	5.103775195256255	6.533338138979351	5.798797455344483	7.668015574028417	8.68881776692155	2.586619186256817	2.5583349070535286	4.148118938122277	5.393766443282691	6.86502470852927	7.8520473690488135	7.467235691107398
3SALAASPm_neg	4.868766890022965	4.845155762476806	4.594327487383702	6.2801344839601345	6.825192867240532	3.7083685329502947	6.168869073888519	3.6229580816023317	2.3904841878003174	3.463166726077874	7.029640571765419	6.361959034964464	5.103775195256255	6.533338138979351	5.798797455344483	7.668015574028417	8.68881776692155	2.586619186256817	2.5583349070535286	4.148118938122277	5.393766443282691	6.86502470852927	7.8520473690488135	7.467235691107398
